loss,backbone,split,n_genuine,n_impostor,auc,auc_ci95_low,auc_ci95_high,eer,eer_ci95_low,eer_ci95_high,d_prime,decidability,accuracy_at_eer,precision_at_eer,recall_at_eer,f1_at_eer,frr_at_far_1pct,gar_at_far_1pct,frr_at_far_0.1pct,gar_at_far_0.1pct,frr_at_far_0.01pct,gar_at_far_0.01pct,far_0.01pct_valid
bce,resnet18,rimes_to_iam,3844,3844,0.8875856978347,0.8796151292174189,0.8951270421503681,0.1817117585848075,0.17168639438085326,0.19042989073881375,1.95510116684378,1.95510116684378,0.8182882414151925,0.8182054616384915,0.8184183142559833,0.8183118741058655,0.8842351716961498,0.11576482830385015,0.9672216441207075,0.032778355879292405,,,False
bce,resnet18,rimes_to_rimes,1527,1527,0.82112865603164,0.8069398662966408,0.8351070546791672,0.24426981008513426,0.23050916830386375,0.25999508840864444,1.3453798271082127,1.3453798271082127,0.7557301899148657,0.7557301899148657,0.7557301899148657,0.7557301899148657,0.9436804191224624,0.056319580877537655,0.9869024230517355,0.01309757694826457,,,False
bce,resnet34,iam_to_iam,479,479,0.9102710500738752,0.8903902855200247,0.9283310851155636,0.1597077244258873,0.13674321503131526,0.18478601252609597,1.9304479996756054,1.9304479996756054,0.8402922755741128,0.8410041841004184,0.8392484342379958,0.8401253918495298,1.0,0.0,1.0,0.0,,,False
bce,resnet34,iam_to_rimes,6429,6429,0.678566308883706,0.6719262049023904,0.6853951254185586,0.3289002955358532,0.3219007621714108,0.33574817234406595,0.7923670006866131,0.7923670006866131,0.6710997044641468,0.6182033096926713,0.8948514543474879,0.7312360978709882,1.0,0.0,1.0,0.0,,,False
bce,resnet34,rimes_to_iam,3844,3844,0.5980759032550423,0.5851413452563613,0.6110338356206844,0.445369406867846,0.43390998959417276,0.4564321019771072,0.4940573363257275,0.4940573363257275,0.554630593132154,0.554630593132154,0.554630593132154,0.554630593132154,1.0,0.0,1.0,0.0,,,False
bce,resnet34,rimes_to_rimes,1527,1527,0.7443888204847132,0.7288156503178542,0.7608914833155996,0.32056319580877535,0.3051735428945645,0.3372626064178127,0.8909147365174391,0.8909147365174391,0.6794368041912247,0.6851351351351351,0.6640471512770137,0.6744263385433986,0.9580877537655533,0.04191224623444663,0.9960707269155207,0.003929273084479371,,,False
contrastive,efficientnet_b0,iam_to_iam,479,479,0.9907906607798955,0.9862741401929036,0.9945389010682484,0.04175365344467641,0.03131524008350729,0.05845511482254695,3.906536891873566,3.906536891873566,0.9582463465553236,0.9582463465553236,0.9582463465553236,0.9582463465553236,0.20459290187891443,0.7954070981210856,0.44050104384133615,0.5594989561586639,,,False
contrastive,efficientnet_b0,iam_to_rimes,6429,6429,0.7559693338153806,0.7469796800622548,0.7646121485991946,0.30844610359309377,0.2995022554051952,0.31661222585160986,0.8806860140243506,0.8806860140243506,0.6915538964069062,0.6914943243663505,0.6917094415927827,0.6916018662519441,0.861720329755794,0.13827967024420595,0.9751127702597605,0.02488722974023954,,,False
contrastive,efficientnet_b0,rimes_to_iam,3844,3844,0.9669916818350638,0.9634026104306236,0.9703453802755975,0.08181581685744016,0.07622268470343393,0.08845278355879291,2.3629313011342274,2.3629313011342274,0.9181841831425598,0.918075422626788,0.9183142559833507,0.9181948237742229,0.3735691987513007,0.6264308012486993,0.8696670135275755,0.13033298647242456,,,False
contrastive,efficientnet_b0,rimes_to_rimes,1527,1527,0.9238890968890467,0.9133733487039016,0.9333905869850228,0.13588736083824493,0.1218074656188605,0.14702848722986245,2.0810537464358716,2.0810537464358716,0.8641126391617551,0.8638743455497382,0.8644400785854617,0.8641571194762683,0.5265225933202358,0.47347740667976423,0.8716437459070072,0.12835625409299278,,,False
