backbone,loss,split,auc,eer,d_prime,accuracy,precision,recall,f1,mu_genuine,mu_impostor,sigma_genuine,sigma_impostor,gar_far1pct,gar_far0.1pct,far0.1pct_valid,notes
mobilenet_v3_large,triplet,iam_to_iam,0.8714789422988916,0.2150313152400834,1.5049389366720547,0.7849686847599165,0.7849686847599165,0.7849686847599165,0.7849686847599165,0.7534330425577895,0.3544383551186584,0.174552301898458,0.3318319468246067,0.2609603340292276,0.1565762004175365,True,
mobilenet_v3_large,triplet,iam_to_rimes,0.6664318972295609,0.3820189765126769,0.5274675901526507,0.6179810234873231,0.6179810234873231,0.6179810234873231,0.6179810234873231,0.744067368374436,0.5903428388166426,0.249257440679979,0.3282436508698599,0.0466635557629491,0.0034219940892828,True,
mobilenet_v3_large,triplet,rimes_to_iam,0.8065434827686648,0.2609261186264308,0.9493213071286932,0.7390738813735692,0.7390738813735692,0.7390738813735692,0.7390738813735692,0.8609912917095466,0.7310876996216678,0.1161662220758474,0.1547736885547625,0.2052549427679501,0.0593132154006244,True,
mobilenet_v3_large,triplet,rimes_to_rimes,0.8615156392531036,0.2010478061558611,1.576594516999383,0.7989521938441388,0.7989521938441388,0.7989521938441388,0.7989521938441388,0.7661244891847397,0.113290969356187,0.2761961950763445,0.516369323659734,0.0798952193844139,0.0425671250818598,True,
mobilenet_v3_small,triplet,iam_to_iam,0.9142524657755152,0.1607515657620042,1.7150675575152172,0.8392484342379958,0.8392484342379958,0.8392484342379958,0.8392484342379958,0.8371495449281684,0.2890358306039786,0.1504869030577615,0.4261756742466505,0.2964509394572026,0.2379958246346555,True,
mobilenet_v3_small,triplet,iam_to_rimes,0.6569854486498743,0.3834188831855654,0.4198736796078448,0.6165811168144346,0.6165811168144346,0.6165811168144346,0.6165811168144346,0.7584338603962226,0.6678417701066134,0.2123311184918917,0.2191359161087732,0.0712396951314356,0.0188209674910561,True,
mobilenet_v3_small,triplet,rimes_to_iam,0.8526377581018731,0.2137096774193548,1.1539645541852013,0.7862903225806451,0.7865139286644103,0.7859001040582726,0.7862068965517242,0.906439645854518,0.5412143079033868,0.2008321846387516,0.4000075734175902,0.0822060353798126,0.0345993756503641,True,
mobilenet_v3_small,triplet,rimes_to_rimes,0.8969700166700332,0.1751800916830386,1.790685773745036,0.8248199083169614,0.8250327653997379,0.8244924688932548,0.8247625286603341,0.7283951296918119,0.0791855194747994,0.3075238902479369,0.4102574967289746,0.3130320890635232,0.1093647675180091,True,
resnet18,triplet,iam_to_iam,0.9473415823675804,0.1169102296450939,1.9802823300607069,0.8830897703549061,0.8830897703549061,0.8830897703549061,0.8830897703549061,0.9239216034372564,0.3253578080957082,0.0954944401850357,0.4166596460063501,0.3068893528183716,0.1837160751565761,True,
resnet18,triplet,iam_to_rimes,0.7203250983903746,0.3389329600248872,0.6495434903146434,0.6610670399751127,0.6610670399751127,0.6610670399751127,0.6610670399751127,0.8862555961372749,0.7471080719254161,0.1647791172363231,0.254226900402069,0.0867942137190853,0.0139990667288847,True,
resnet18,triplet,rimes_to_iam,0.8522025690265842,0.2255463059313215,1.06271506727599,0.7744536940686785,0.7744536940686785,0.7744536940686785,0.7744536940686785,0.976269990880271,0.7116669392136665,0.0865074441771418,0.3413301604527914,0.2328303850156087,0.0655567117585848,True,
resnet18,triplet,rimes_to_rimes,0.8817315391282607,0.18762278978389,1.6058819604180072,0.81237721021611,0.81217277486911,0.8127046496398166,0.8124386252045827,0.7614148496817883,0.0342034802033511,0.3325442113280288,0.5473086380029712,0.2108709888670595,0.0838244924688932,True,
resnet34,triplet,iam_to_iam,0.9380755837012564,0.1419624217118997,1.961865501177528,0.8580375782881002,0.8580375782881002,0.8580375782881002,0.8580375782881002,0.8492315137809403,0.2403705286869238,0.1259902509453254,0.4204261975364303,0.325678496868476,0.1189979123173278,True,
resnet34,triplet,iam_to_rimes,0.7264126274335206,0.3364442370508632,0.7776854155569981,0.6635557629491368,0.6635557629491368,0.6635557629491368,0.6635557629491368,0.7673659960558671,0.4614458360927558,0.2787740993051216,0.4814239910433933,0.0466635557629491,0.0052885363198008,True,
resnet34,triplet,rimes_to_iam,0.8531338892131309,0.2307492195629552,1.3320009333617897,0.7692507804370448,0.7692507804370448,0.7692507804370448,0.7692507804370448,0.9119144907360752,0.5516178445564922,0.1290776415857672,0.3600995129691534,0.1501040582726327,0.0762226847034339,True,
resnet34,triplet,rimes_to_rimes,0.9004305388833781,0.1686313032089063,1.785727586782115,0.8313686967910936,0.8315858453473133,0.831041257367387,0.831313462168359,0.8183620747644759,0.0721907497742887,0.2815587753273929,0.5195446375497965,0.2128356254092993,0.0635232481990831,True,
